     ,Stand v Waffle,Bishop v Weaver,Benders vs Bruh,AFCG v Ztoven,Dance v Donations,Fins v Afghans,   ,1,2,3,4,5,6,7,8,9,10,11,12
50,Waffle,Weaver,Benders,AFCG,Donations,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Dance (7-7)    [Points Behind: 36],Donations (6-8)    [Points Behind: 18],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
51,Waffle,Weaver,Benders,AFCG,Donations,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Ztoven (7-7)    [Points Behind: -68],Benders (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 36],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
52,Waffle,Weaver,Benders,Ztoven,Dance,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Fins (7-7)    [Points Behind: -90],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Donations (5-9)    [Points Behind: 34],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
53,Waffle,Weaver,Benders,Ztoven,Dance,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Benders (7-7)    [Points Behind: -36],AFCG (7-7)    [Points Behind: 20],Fins (6-8)    [Points Behind: -48],Donations (5-9)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
54,Waffle,Weaver,Benders,Ztoven,Donations,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Fins (7-7)    [Points Behind: -90],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Donations (6-8)    [Points Behind: 18],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
55,Waffle,Weaver,Benders,Ztoven,Donations,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Benders (7-7)    [Points Behind: 48],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Waffle (5-9)    [Points Behind: 45],Bruh (4-10)    [Points Behind: -21]
56,Waffle,Weaver,Bruh,AFCG,Dance,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
57,Waffle,Weaver,Bruh,AFCG,Dance,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Ztoven (7-7)    [Points Behind: -84],Fins (6-8)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
58,Waffle,Weaver,Bruh,AFCG,Donations,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 64],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
59,Waffle,Weaver,Bruh,AFCG,Donations,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Ztoven (7-7)    [Points Behind: -68],Dance (7-7)    [Points Behind: 84],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
60,Waffle,Weaver,Bruh,Ztoven,Dance,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Fins (7-7)    [Points Behind: -90],AFCG (7-7)    [Points Behind: 48],Benders (6-8)    [Points Behind: -20],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
61,Waffle,Weaver,Bruh,Ztoven,Dance,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],AFCG (7-7)    [Points Behind: -16],Fins (6-8)    [Points Behind: -48],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
62,Waffle,Weaver,Bruh,Ztoven,Donations,Fins,|,Weaver (9-5)    [Points Behind: 0],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Fins (7-7)    [Points Behind: -90],AFCG (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 16],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
63,Waffle,Weaver,Bruh,Ztoven,Donations,Afghans,|,Afghans (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Stand (8-6)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],AFCG (7-7)    [Points Behind: 68],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (5-9)    [Points Behind: 21]
